week,date,topic,lecture notes,supplemental reading,homework,project
1,Aug 24,introduction to formal methods,[lecture01](https://piazza.com/class_profile/get_resource/kspk2xt3e862wl/kspm5khzv5x1fo),,[hw1](https://docs.google.com/forms/d/e/1FAIpQLSfX4-sRtBQEjkOEpRSU-N7SrqGD6rd41exQ8t9dEVPg8N1KNA/viewform?usp=sf_link) assigned,
,Aug 26,natural deduction,[lecture02](https://piazza.com/class_profile/get_resource/kspk2xt3e862wl/kszhtcdrkam5ef),LICS 1.1-1.2,[hw1](https://docs.google.com/forms/d/e/1FAIpQLSfX4-sRtBQEjkOEpRSU-N7SrqGD6rd41exQ8t9dEVPg8N1KNA/viewform?usp=sf_link) due,
2,Aug 31,propositional logic,[lecture03](https://piazza.com/class_profile/get_resource/kspk2xt3e862wl/kszhvvj6vpw5oj),LICS 1.3,hw2 assigned,
,Sep 2,semantics of propositional logic,[lecture04](https://piazza.com/class_profile/get_resource/kspk2xt3e862wl/kt2bpxbgb484ge),LICS 1.4,,
3,Sep 7,normal forms,[lecture05](…),LICS 1.5,,
,Sep 9,SAT solving,[lecture06](…),"LICS 1.6, [CDCL](http://satassociation.org/articles/FAIA185-0131.pdf)",hw2 due,
4,Sep 14,*no class ([career day](https://www.mines.edu/careers/career-day/))*,,,,
,Sep 16,predicate logic,[lecture07](…),LICS 2.1-2.2,[hw3](https://github.com/mines-pvs/s20-assignment-hw03) assigned,
5,Sep 21,proof theory of predicate logic,[lecture08](…),LICS 2.3,,
,Sep 23,"semantics of predicate logic, SMT solving",[lecture09](…),"LICS 2.4, [SMT](https://people.eecs.berkeley.edu/~sseshia/pubdir/SMT-BookChapter.pdf)",,
6,Sep 28,linear temporal logic (LTL),[lecture10](…),LICS 3.2,[hw3](https://github.com/mines-pvs/s20-assignment-hw03) due,
,Sep 30,model checking,[lecture11](…),LICS 3.3,,
7,Oct 5,computation tree logic (CTL),[lecture12](…),LICS 3.4,,
,Oct 7,CTL model checking,[lecture13](…),LICS 3.6.1,,
8,Oct 12,LTL model checking,[lecture14](…),LICS 3.6.3,,project proposal due
,Oct 14,program syntax/semantics,[lecture15](…),LICS 4.1-4.2.1,hw4 assigned,
9,Oct 19,*no class (holiday)*,,,,
,Oct 21,program verification,[lecture16](…),LICS 4.2.2-4.2.4,,
10,Oct 26,Hoare logic,[lecture17](…),LICS 4.3,hw4 due,
,Oct 28,verification conditions,[lecture18](…),[Weakest Preconditions](https://www.lri.fr/~marche/MPRI-2-36-1/2013/poly1.pdf),hw5 assigned,
11,Nov 2,finding loop invariants,,,,
,Nov 4,paper presentation,,[Combinatorial Sketching for Finite Programs](https://people.csail.mit.edu/asolar/papers/asplos06-final.pdf),,
12,Nov 9,paper presentation,,[Sketching Concurrent Data Structures](https://people.csail.mit.edu/asolar/papers/Solar-LezamaJB08.pdf),hw5 due,
,Nov 11,paper presentation,,[Oracle-Guided Component-Based Program Synthesis](http://susmitjha.github.io/papers/icse10.pdf),,
13,Nov 16,paper presentation,,[Automating String Processing in Spreadsheets Using Input-Output Examples](https://www.microsoft.com/en-us/research/wp-content/uploads/2016/12/popl11-synthesis.pdf),,
,Nov 18,*no class*,,,,
14,Nov 23,*no class (holiday)*,,,,
,Nov 25,paper presentation,,[Abstraction-Guided Synthesis of Synchronization](http://www.cs.technion.ac.il/~yahave/papers/popl10.pdf),,
15,Nov 30,paper presentation,,[TRANSIT: Specifying Protocols with Concolic Snippets](http://acg.cis.upenn.edu/papers/pldi13_transit.pdf),,
,Dec 2,paper presentation,,[Syntax-Guided Synthesis](https://www.cis.upenn.edu/~fisman/documents/SyGuS_JournalVersion.pdf),,presentation slides due
16,Dec 7,**project presentations**,,,,
,Dec 9,"*no class (""dead day"")*",,,,
17,Dec 14,*no class (final exam week)*,,,,
,Dec 16,*no class (final exam week)*,,,,final report due
